mode,fase,metric,value
bbox,FULL,n,400.0000
bbox,FULL,tp,105.0000
bbox,FULL,fp,55.0000
bbox,FULL,precision,0.6562
bbox,FULL,recall,0.0327
bbox,FULL,img_tp,88.0000
bbox,FULL,img_tp_rate,0.2200
bbox,FULL,cls_acc,0.7714
bbox,FULL,mean_fwd,27.7600
bbox,EARLY,n,400.0000
bbox,EARLY,tp,100.0000
bbox,EARLY,fp,55.0000
bbox,EARLY,precision,0.6452
bbox,EARLY,recall,0.0311
bbox,EARLY,img_tp,89.0000
bbox,EARLY,img_tp_rate,0.2225
bbox,EARLY,cls_acc,0.7800
bbox,EARLY,mean_fwd,27.2200
refocus,FULL,n,400.0000
refocus,FULL,tp,122.0000
refocus,FULL,fp,71.0000
refocus,FULL,precision,0.6321
refocus,FULL,recall,0.0380
refocus,FULL,img_tp,104.0000
refocus,FULL,img_tp_rate,0.2600
refocus,FULL,cls_acc,0.8443
refocus,FULL,mean_fwd,27.7600
refocus,EARLY,n,400.0000
refocus,EARLY,tp,109.0000
refocus,EARLY,fp,61.0000
refocus,EARLY,precision,0.6412
refocus,EARLY,recall,0.0339
refocus,EARLY,img_tp,100.0000
refocus,EARLY,img_tp_rate,0.2500
refocus,EARLY,cls_acc,0.8899
refocus,EARLY,mean_fwd,27.1800
kmeans,FULL,n,400.0000
kmeans,FULL,tp,69.0000
kmeans,FULL,fp,203.0000
kmeans,FULL,precision,0.2537
kmeans,FULL,recall,0.0215
kmeans,FULL,img_tp,59.0000
kmeans,FULL,img_tp_rate,0.1475
kmeans,FULL,cls_acc,0.8696
kmeans,FULL,mean_fwd,49.9200
kmeans,EARLY,n,400.0000
kmeans,EARLY,tp,63.0000
kmeans,EARLY,fp,198.0000
kmeans,EARLY,precision,0.2414
kmeans,EARLY,recall,0.0196
kmeans,EARLY,img_tp,59.0000
kmeans,EARLY,img_tp_rate,0.1475
kmeans,EARLY,cls_acc,0.8571
kmeans,EARLY,mean_fwd,49.1800
hybrid,FULL,n,400.0000
hybrid,FULL,tp,157.0000
hybrid,FULL,fp,127.0000
hybrid,FULL,precision,0.5528
hybrid,FULL,recall,0.0489
hybrid,FULL,img_tp,136.0000
hybrid,FULL,img_tp_rate,0.3400
hybrid,FULL,cls_acc,0.8089
hybrid,FULL,mean_fwd,41.9800
hybrid,EARLY,n,400.0000
hybrid,EARLY,tp,164.0000
hybrid,EARLY,fp,117.0000
hybrid,EARLY,precision,0.5836
hybrid,EARLY,recall,0.0510
hybrid,EARLY,img_tp,133.0000
hybrid,EARLY,img_tp_rate,0.3325
hybrid,EARLY,cls_acc,0.8354
hybrid,EARLY,mean_fwd,40.8200

mode,gate,cls_acc,det_prec,samples
bbox,0.20,0.1798,0.3759,1229
bbox,0.25,0.2091,0.4134,1028
bbox,0.30,0.2446,0.4520,834
bbox,0.35,0.2815,0.4743,643
bbox,0.40,0.3280,0.5060,500
bbox,0.45,0.3769,0.5377,398
bbox,0.50,0.4244,0.5627,311
bbox,0.55,0.4418,0.5944,249
bbox,0.60,0.4433,0.5670,194
bbox,0.65,0.4354,0.5510,147
bbox,0.70,0.4174,0.5217,115
bbox,0.75,0.3895,0.4947,95
bbox,0.80,0.3281,0.4219,64
bbox,0.85,0.2979,0.3830,47
bbox,0.90,0.1613,0.1613,31
bbox,0.95,0.0800,0.0800,25
refocus,0.20,0.1964,0.3771,1273
refocus,0.25,0.2217,0.4033,1096
refocus,0.30,0.2517,0.4270,890
refocus,0.35,0.2869,0.4510,725
refocus,0.40,0.3206,0.4645,577
refocus,0.45,0.3681,0.5122,451
refocus,0.50,0.4080,0.5287,348
refocus,0.55,0.4566,0.5547,265
refocus,0.60,0.4692,0.5498,211
refocus,0.65,0.5000,0.5412,170
refocus,0.70,0.5194,0.5504,129
refocus,0.75,0.5051,0.5051,99
refocus,0.80,0.4306,0.4306,72
refocus,0.85,0.3333,0.3333,51
refocus,0.90,0.2000,0.2000,35
refocus,0.95,0.0800,0.0800,25
kmeans,0.20,0.0557,0.1247,2318
kmeans,0.25,0.0626,0.1330,2030
kmeans,0.30,0.0728,0.1426,1718
kmeans,0.35,0.0770,0.1401,1428
kmeans,0.40,0.0828,0.1440,1208
kmeans,0.45,0.0847,0.1305,1004
kmeans,0.50,0.0900,0.1250,856
kmeans,0.55,0.0859,0.1160,733
kmeans,0.60,0.0835,0.1008,635
kmeans,0.65,0.0784,0.0891,561
kmeans,0.70,0.0680,0.0742,485
kmeans,0.75,0.0607,0.0652,445
kmeans,0.80,0.0554,0.0578,415
kmeans,0.85,0.0400,0.0427,375
kmeans,0.90,0.0211,0.0211,331
kmeans,0.95,0.0064,0.0064,311
hybrid,0.20,0.1693,0.3118,1937
hybrid,0.25,0.1878,0.3237,1693
hybrid,0.30,0.2123,0.3489,1413
hybrid,0.35,0.2447,0.3763,1132
hybrid,0.40,0.2706,0.3916,909
hybrid,0.45,0.2933,0.4036,716
hybrid,0.50,0.3066,0.4011,561
hybrid,0.55,0.3208,0.3941,477
hybrid,0.60,0.3141,0.3691,382
hybrid,0.65,0.3084,0.3396,321
hybrid,0.70,0.2802,0.2996,257
hybrid,0.75,0.2248,0.2385,218
hybrid,0.80,0.1862,0.1915,188
hybrid,0.85,0.1472,0.1472,163
hybrid,0.90,0.0656,0.0656,122
hybrid,0.95,0.0316,0.0316,95
